n_estimators,learning_rate,max_depth,min_child_weight,val_auc,best_threshold,fn,fp,fp_fn_ratio,total_errors,balance_score,auc_rank,error_rank,balance_rank,composite_score
400,0.05,6,1,0.9705469988559633,0.2600000000000001,85,435,5.117647058823529,520,647.5,101.0,81.0,108.0,97.1
500,0.1,5,7,0.9708383022219075,0.24000000000000007,64,482,7.53125,546,642.0,58.5,180.5,74.0,99.75
300,0.1,5,7,0.9708383022219075,0.24000000000000007,64,482,7.53125,546,642.0,58.5,180.5,74.0,99.75
200,0.1,5,7,0.9708383022219075,0.24000000000000007,64,482,7.53125,546,642.0,58.5,180.5,74.0,99.75
400,0.1,5,7,0.9708383022219075,0.24000000000000007,64,482,7.53125,546,642.0,58.5,180.5,74.0,99.75
300,0.05,4,7,0.9703601249985653,0.3200000000000002,99,404,4.08080808080808,503,651.5,138.0,20.0,129.5,100.05000000000001
500,0.03,4,5,0.9702519774115415,0.31000000000000016,93,414,4.451612903225806,507,646.5,161.0,31.5,103.5,104.9
200,0.07,4,5,0.9703371699053556,0.31000000000000016,92,418,4.543478260869565,510,648.0,148.0,41.5,112.0,105.25
200,0.1,4,1,0.9706022850663703,0.27000000000000013,82,444,5.414634146341464,526,649.0,92.0,114.5,114.5,105.5
500,0.03,4,1,0.9703376548721134,0.30000000000000016,88,426,4.840909090909091,514,646.0,147.0,57.0,100.5,106.05000000000001
300,0.05,5,1,0.9706790714697128,0.2600000000000001,77,454,5.896103896103896,531,646.5,84.0,138.5,103.5,106.2
200,0.1,3,7,0.9704608364286338,0.29000000000000015,76,452,5.947368421052632,528,642.0,121.0,122.0,74.0,107.2
400,0.05,3,5,0.9701934580894152,0.29000000000000015,78,444,5.6923076923076925,522,639.0,170.0,90.0,55.0,111.5
300,0.07,6,5,0.9704807200657098,0.23000000000000007,71,464,6.535211267605634,535,641.5,115.0,152.5,69.0,112.45
500,0.07,6,5,0.9704807200657098,0.23000000000000007,71,464,6.535211267605634,535,641.5,115.0,152.5,69.0,112.45
400,0.07,6,5,0.9704807200657098,0.23000000000000007,71,464,6.535211267605634,535,641.5,115.0,152.5,69.0,112.45
500,0.03,6,5,0.9704941374793467,0.2600000000000001,83,442,5.325301204819277,525,649.5,113.0,108.0,117.5,112.85
500,0.03,6,1,0.9702755791270954,0.2500000000000001,77,448,5.818181818181818,525,640.5,156.0,108.0,63.0,113.70000000000002
200,0.1,4,7,0.9705087673098781,0.27000000000000013,80,448,5.6,528,648.0,112.0,122.0,112.0,115.0
500,0.03,6,7,0.9705948489094149,0.2500000000000001,80,451,5.6375,531,651.0,93.0,138.5,123.0,115.65
500,0.05,6,3,0.9705284084635752,0.2600000000000001,88,435,4.943181818181818,523,655.0,106.0,96.5,151.5,116.80000000000001
400,0.05,6,3,0.9705284084635752,0.2600000000000001,88,435,4.943181818181818,523,655.0,106.0,96.5,151.5,116.80000000000001
200,0.1,3,5,0.9701390609847315,0.31000000000000016,93,418,4.494623655913978,511,650.5,172.0,45.0,121.0,118.6
200,0.07,6,5,0.9704673026520729,0.23000000000000007,68,473,6.955882352941177,541,643.0,117.0,169.0,78.0,120.9
400,0.05,3,7,0.9702691129036559,0.28000000000000014,70,464,6.628571428571429,534,639.0,157.0,146.5,55.0,123.25
200,0.1,4,3,0.9707508465498899,0.2600000000000001,78,460,5.897435897435898,538,655.0,73.0,163.5,151.5,123.69999999999999
400,0.1,6,5,0.9703281171925404,0.2500000000000001,77,452,5.87012987012987,529,644.5,150.5,127.0,86.0,124.10000000000001
500,0.1,6,5,0.9703281171925404,0.2500000000000001,77,452,5.87012987012987,529,644.5,150.5,127.0,86.0,124.10000000000001
300,0.1,6,5,0.9703281171925404,0.2500000000000001,77,452,5.87012987012987,529,644.5,150.5,127.0,86.0,124.10000000000001
200,0.1,6,5,0.9703281171925404,0.2500000000000001,77,452,5.87012987012987,529,644.5,150.5,127.0,86.0,124.10000000000001
300,0.05,4,1,0.9704231706770994,0.29000000000000015,84,443,5.273809523809524,527,653.0,130.0,118.0,140.5,129.55
300,0.07,6,3,0.9703405646726613,0.23000000000000007,70,469,6.7,539,644.0,145.0,166.0,81.5,132.25
400,0.07,6,3,0.9703405646726613,0.23000000000000007,70,469,6.7,539,644.0,145.0,166.0,81.5,132.25
500,0.07,6,3,0.9703405646726613,0.23000000000000007,70,469,6.7,539,644.0,145.0,166.0,81.5,132.25
